sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Miami (FL) Hurricanes",31,76.5,100,80,1.046,59.1,29.1,30,49.2,57.1,12.7,12.1,0.28,9.2,47,35.5,19.7,15.8,55.5,23.6,9.4,14.2,39.7,0.4
2,"Bellarmine Knights",31,76.1,100,79.6,1.045,57.7,27.6,30.1,47.8,56.7,12.8,13.4,0.32,9.1,46.4,31,17.3,13.7,55.9,26.7,10.3,16.5,38.5,0.46
3,"Canisius Golden Griffins",31,75.8,100,78.5,1.035,57.3,28.2,29.1,49.2,56.6,13.5,12.8,0.31,9,47,33.8,19.7,14,58.5,23.5,8.5,15.1,36,0.41
4,"Mississippi Valley State Delta Devils",31,78.8,100,80.5,1.022,58.6,28.9,29.7,49.3,56.3,13.3,14.7,0.36,12.5,47.5,36.2,20.7,15.5,57.3,22.5,8.2,14.3,36.4,0.38
5,"Air Force Falcons",32,72.6,100,73.1,1.006,54.5,26.2,28.3,48.1,54.8,13.1,15.3,0.35,10.7,46.3,34.6,19,15.6,54.9,19.9,7.2,12.7,36.3,0.36
5,"Stony Brook Seawolves",32,73.4,100,73.8,1.006,57.1,27.1,30,47.4,55,12.5,11.8,0.27,8.9,45.4,32.9,18.4,14.5,55.9,24.1,8.7,15.5,35.9,0.42
5,"Toledo Rockets",33,79.2,100,79.7,1.006,61.6,29.7,32,48.1,55.1,13,11.4,0.26,8.4,45.5,38.5,21.1,17.4,54.7,23.2,8.6,14.5,37.2,0.38
5,"Oral Roberts Golden Eagles",30,77.4,100,77.9,1.006,58.3,27.1,31.1,46.6,53.5,12.8,14.6,0.35,9.7,45.7,34.5,19.1,15.5,55.2,23.7,8.1,15.7,34,0.41
9,"West Georgia Wolves",31,77.3,100,77.7,1.005,57.2,27.2,30,47.5,55.3,14.1,14.3,0.35,11.2,45.6,32.4,18.3,14.1,56.4,24.8,8.9,15.9,35.9,0.43
10,"Indiana University - Indianapolis Jaguars",32,76,100,76.2,1.003,57,27,30,47.4,54.8,13.5,13.8,0.33,9.1,45.6,32.9,18.6,14.3,56.4,24.1,8.4,15.6,35.1,0.42
11,"Wisconsin-(Green Bay) Phoenix",32,79.5,100,79.6,1,60.3,28.3,32,46.9,54.3,12.2,14.4,0.34,9.3,45.8,36.3,19.3,16.9,53.3,24,8.9,15.1,37.1,0.4
12,"North Dakota Fighting Hawks",33,79.4,100,79.2,0.998,60.4,28.3,32.1,46.9,54.1,13.1,13.2,0.31,9.2,45.1,35.8,19.5,16.3,54.5,24.5,8.8,15.8,35.7,0.41
13,"Pennsylvania Quakers",27,77.5,100,77.2,0.996,61.7,28,33.6,45.5,52.8,11.1,10.9,0.25,8.1,44.6,37.4,19,18.4,50.7,24.2,9,15.2,37.3,0.39
14,"Portland Pilots",32,80.7,100,80.2,0.994,65.3,30,35.3,45.9,53.6,11.4,9.6,0.21,6.6,43.8,38.5,19.9,18.7,51.6,26.8,10.1,16.7,37.7,0.41
15,"Stetson Hatters",32,81.9,100,81.1,0.991,65.2,29.3,35.9,44.9,52.2,10.7,11.6,0.27,9.3,44.6,38.6,19.7,18.9,51.1,26.6,9.6,17,36,0.41
16,"Central Arkansas Bears",33,78.6,100,77.8,0.989,61.5,28.1,33.5,45.6,55.5,14.1,9.2,0.21,7.3,42.3,29.5,15.8,13.7,53.7,32,12.2,19.8,38.2,0.52
16,"Charlotte 49ers",33,75,100,74.2,0.989,56.2,26.9,29.3,47.8,53.5,12.2,15.4,0.36,10.6,46.3,36.8,20.5,16.2,55.8,19.4,6.4,13.1,32.8,0.35
18,"Cal State Fullerton Titans",32,78.1,100,77.1,0.988,58.7,26.7,32,45.5,53.4,13.6,13.8,0.33,9.6,44.1,32.2,17.4,14.8,54,26.5,9.3,17.2,35.2,0.45
19,"USC Upstate Spartans",32,84.5,100,83.3,0.986,61.5,29.1,32.4,47.4,54.1,14.1,15.6,0.38,11.1,45.8,37.1,20.8,16.3,56,24.4,8.3,16.1,34.2,0.4
20,"New Orleans Privateers",32,81.3,100,80.1,0.985,62.8,29.3,33.5,46.6,54.3,13.3,11.4,0.26,8.5,44,36.4,19.8,16.7,54.2,26.4,9.6,16.9,36.2,0.42
21,"North Florida Ospreys",32,86,100,84.5,0.983,66.1,31.7,34.4,47.9,53.2,12.4,13.1,0.3,9.3,46.1,45.9,24.7,21.2,53.8,20.2,7,13.3,34.5,0.31
21,"Syracuse Orange",33,78.8,100,77.5,0.983,60.3,27.8,32.5,46,52.6,12.1,13.6,0.33,10,45.5,37.4,19.9,17.5,53.2,22.9,7.9,15,34.4,0.38
23,"Le Moyne Dolphins",32,81.5,100,80,0.982,60.2,27.6,32.6,45.9,53.4,13.9,14.4,0.36,9.9,44.7,35.4,18.6,16.8,52.7,24.8,9,15.8,36.3,0.41
23,"Denver Pioneers",32,78.7,100,77.3,0.982,53.8,25.6,28.2,47.5,54,16,18.5,0.49,11.6,46,33.7,18.6,15.1,55.3,20.1,6.9,13.2,34.5,0.37
25,"Maryland-Eastern Shore Hawks",31,79,100,77.5,0.981,58.4,27.4,31,46.9,53,13.2,15.2,0.38,11.7,46,36.3,20.3,16,55.9,22.1,7.1,15,32.2,0.38
26,"San Diego Toreros",33,81,100,79.4,0.98,56.4,26.2,30.2,46.5,53.8,15.5,17.3,0.45,11.3,45.4,34.9,18,17,51.4,21.5,8.2,13.2,38.4,0.38
26,"Charleston Southern Buccaneers",32,79.4,100,77.8,0.98,61.3,29.3,32,47.8,52.6,11.6,13.5,0.31,9.5,46.3,43.6,23.3,20.3,53.5,17.7,5.9,11.7,33.6,0.29
28,"Columbia Lions",27,79.6,100,78,0.979,61.4,28.6,32.8,46.6,54.6,14.3,10.5,0.24,6.9,43.6,35.6,18.8,16.8,52.8,25.8,9.8,16,38.1,0.42
29,"Idaho Vandals",32,77.3,100,75.6,0.978,57.9,26.8,31.1,46.3,53.1,13.3,14.2,0.34,10.4,44.6,35,18.9,16.1,54,23,7.9,15,34.6,0.4
30,"Eastern Michigan Eagles",31,78.7,100,77,0.977,57.1,26.4,30.8,46.1,53.4,14.9,14.7,0.38,10.6,44.9,35,18.1,16.9,51.7,22.2,8.3,13.9,37.4,0.39
30,"Arkansas-(Pine Bluff) Golden Lions",31,85.4,100,83.4,0.977,61.9,28.8,33.1,46.6,54.2,14.5,15.2,0.39,11,44.7,34.1,19.4,14.7,56.8,27.8,9.5,18.4,34.1,0.45
32,"Pacific Tigers",33,77.3,100,75.5,0.976,57.6,25.7,31.8,44.7,51.6,13.2,14.7,0.36,9.8,44.3,34.6,17.8,16.8,51.3,23,8,15,34.7,0.4
32,"Chicago State Cougars",32,79.9,100,78,0.976,58.2,27.6,30.7,47.3,54.3,15.1,14.4,0.35,9.8,44.9,35.3,19.4,15.8,55.1,23,8.1,14.8,35.4,0.39
34,"Wright State Raiders",33,78.2,100,76.2,0.975,59.4,27.2,32.2,45.8,52.4,12.4,14.3,0.34,10.9,45.2,37.9,19.4,18.5,51.2,21.5,7.8,13.6,36.4,0.36
35,"Citadel Bulldogs",30,76.8,100,74.8,0.974,57.8,26.5,31.3,45.8,53.1,13.5,13.2,0.32,9.4,44,33.2,18,15.2,54.3,24.6,8.4,16.1,34.3,0.43
36,"Illinois State Redbirds",36,73.8,100,71.8,0.972,55.8,25.2,30.6,45.1,52.5,13.7,13.3,0.31,9.6,43.7,32.1,16.9,15.2,52.6,23.7,8.3,15.4,35,0.42
