sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"St. Thomas (MN) Tommies",34,76.1,100,82.7,1.086,58.4,28.7,29.7,49.1,58.1,12.1,13.7,0.33,9.5,48,31.3,18.3,13.1,58.3,27.1,10.4,16.6,38.5,0.46
2,"Duke Blue Devils",39,75.5,100,81.9,1.084,58.1,28.5,29.6,49.1,57.6,11.7,13.8,0.32,9.8,48,32.3,18.6,13.7,57.6,25.8,9.9,15.9,38.5,0.44
3,"North Dakota State Bison",32,75.5,100,80.6,1.068,57.2,27.1,30.1,47.3,57.7,12.9,13.5,0.33,8.4,46.1,27.1,15.2,11.9,56,30,11.9,18.2,39.5,0.53
4,"Cornell Big Red",29,79.7,100,84.8,1.065,60.9,30.5,30.4,50.1,59.3,14.4,11.9,0.27,8.2,46.5,31.2,19.2,11.9,61.7,29.7,11.2,18.4,37.9,0.49
4,"Gonzaga Bulldogs",35,81.1,100,86.3,1.065,63.4,31.7,31.7,50,55.9,11.2,13.6,0.3,9.8,48.7,42.1,24.1,17.9,57.4,21.3,7.5,13.8,35.3,0.34
6,"High Point Panthers",35,77.8,100,81.3,1.046,58.3,28.5,29.8,48.9,56.1,12.6,14.8,0.36,10.6,47.6,35.4,20.3,15.1,57.3,22.9,8.3,14.7,36.1,0.39
7,"UC San Diego Tritons",35,75.5,100,78.8,1.045,58.8,27.2,31.7,46.2,55.3,10.8,13.6,0.32,10.4,46.1,29.3,16.5,12.8,56.3,29.5,10.7,18.9,36.2,0.5
8,"Chattanooga Mocs",38,76.2,100,79.6,1.043,59.4,28.2,31.2,47.5,55.8,12,12.6,0.29,8.3,46,31.7,18.4,13.3,58,27.7,9.8,17.9,35.5,0.47
9,"Liberty Flames",35,72.8,100,75.6,1.038,56,27.2,28.8,48.6,58,13,12.1,0.29,9.7,45.8,28.6,16.7,11.8,58.6,27.4,10.5,16.9,38.2,0.49
9,"Northern Colorado Bears",35,77.3,100,80.3,1.038,57.9,29.2,28.7,50.5,57.7,14.1,13,0.32,9.4,47.6,35.7,20.8,14.9,58.2,22.2,8.4,13.8,38,0.38
9,"Kentucky Wildcats",36,81.4,100,84.5,1.038,61.6,29.6,31.9,48.1,55.8,12.6,14.8,0.35,10.2,46.5,36.2,20.1,16.1,55.6,25.4,9.5,15.9,37.3,0.41
12,"Lipscomb Bisons",35,75.7,100,78.3,1.035,58.3,27.3,31,46.8,55.2,12.2,12.5,0.3,9,45.9,30.7,17.5,13.2,57,27.6,9.8,17.8,35.5,0.47
12,"Iowa Hawkeyes",33,78.8,100,81.5,1.035,62.3,30.3,32,48.6,56.3,11.7,11.7,0.26,8.6,46.5,36.7,20.7,16,56.3,25.6,9.6,16,37.6,0.41
14,"Illinois State Redbirds",36,73.2,100,75.5,1.032,55.4,26.5,28.9,47.8,56.7,13.6,12.9,0.3,8.2,45.6,29.3,16.8,12.5,57.3,26.2,9.8,16.4,37.3,0.47
15,"Missouri Tigers",34,80.9,100,83.4,1.031,57.8,27.6,30.1,47.8,55.3,13.2,17.8,0.46,12.7,47.6,33.8,18.9,14.9,56,23.9,8.7,15.3,36.2,0.41
16,"Wisconsin Badgers",37,77.4,100,79.7,1.03,59.3,26.8,32.5,45.2,53.5,11.7,13.8,0.33,9,45.5,30.7,16.9,13.8,55,28.6,9.9,18.7,34.6,0.48
17,"Auburn Tigers",38,80.4,100,82.7,1.029,61.9,29.4,32.5,47.4,54.7,11.3,14.1,0.33,9.7,46.4,36.6,20.4,16.2,55.7,25.3,9,16.3,35.6,0.41
18,"Montana Grizzlies",35,74.2,100,76.3,1.028,55.4,27.5,27.9,49.6,56.2,14.1,14.4,0.34,10.3,47.1,34.9,20.2,14.7,57.9,20.5,7.3,13.2,35.6,0.37
19,"Alabama Crimson Tide",37,88.2,100,90.5,1.025,64.4,31,33.4,48.1,56.3,13.8,15.4,0.39,10.1,46.8,34.5,20.5,14,59.4,29.9,10.5,19.4,35.1,0.46
19,"Purdue Boilermakers",36,75.2,100,77.1,1.025,56.4,27.4,29,48.5,55.8,13.2,14.3,0.34,9.6,46.6,34.6,19.1,15.5,55.3,21.8,8.3,13.6,37.8,0.39
21,"Yale Bulldogs",30,79.4,100,81.2,1.023,61.3,29.9,31.5,48.7,54.9,11.8,13.1,0.31,9.5,47.1,41.5,22.3,19.2,53.7,19.8,7.6,12.2,38.3,0.32
22,"Purdue Fort Wayne Mastodons",32,78.9,100,80.6,1.021,61.5,28.7,32.8,46.6,55,11.8,12,0.28,8.2,45.3,33.6,18.4,15.3,54.6,27.9,10.3,17.6,37,0.45
22,"Texas Tech Red Raiders",37,78.7,100,80.4,1.021,61.6,28.5,33.1,46.3,54.4,11.5,12.3,0.29,8.8,45.5,34.2,18.5,15.7,54,27.4,10,17.4,36.6,0.44
22,"Oregon State Beavers",33,74.5,100,76.1,1.021,54.9,26.5,28.5,48.2,54.6,13.7,15.4,0.37,10.7,46.7,35.4,19.4,16,54.8,19.5,7,12.5,36,0.36
22,"Connecticut Huskies",35,75.1,100,76.6,1.021,57.3,27.1,30.2,47.2,54.7,13.3,13.2,0.31,9.4,45.6,32.7,18.5,14.1,56.7,24.6,8.5,16.1,34.7,0.43
26,"Villanova Wildcats",36,72.5,100,73.9,1.019,56.1,25.8,30.3,45.9,54.5,12.4,12.3,0.29,9.2,44.8,31.4,16.2,15.3,51.5,24.6,9.6,15.1,38.8,0.44
27,"Utah State Aggies",34,78.1,100,79.2,1.014,57.9,27.9,30,48.1,55.7,13.4,14.8,0.36,9.8,46.2,33.1,19.1,14.1,57.5,24.7,8.8,15.9,35.6,0.43
27,"Xavier Musketeers",34,76.8,100,77.9,1.014,57.1,26.6,30.5,46.5,53.9,13.5,14.7,0.36,10.3,45.6,35.6,18.2,17.5,51,21.4,8.4,13,39.1,0.38
29,"Bradley Braves",37,74.8,100,75.8,1.013,55.7,26.6,29.1,47.8,56.4,14.7,13.1,0.31,8.5,45.2,31.6,17.1,14.5,54.1,24.1,9.5,14.6,39.6,0.43
30,"Florida Gators",40,83.7,100,84.6,1.012,63.2,29.6,33.6,46.8,54.5,12.6,14.3,0.34,10.6,45.8,35.5,19.8,15.7,55.8,27.7,9.8,17.9,35.2,0.44
31,"Miami (OH) RedHawks",34,79.3,100,80.2,1.011,60.5,29,31.5,47.9,56.7,14.6,11.5,0.26,7.5,44.6,33.4,18.3,15.1,54.9,27.1,10.7,16.5,39.3,0.45
32,"Brigham Young Cougars",36,80.3,100,81.1,1.01,60.6,28.9,31.7,47.7,56.3,14.3,12,0.29,8.2,44.7,31.9,18.4,13.5,57.8,28.7,10.5,18.2,36.5,0.47
33,"Massachusetts Lowell",32,78.5,100,79.2,1.008,57.8,28.6,29.2,49.5,55.6,15.4,13.6,0.33,9.2,46.5,37.6,21.5,16.1,57.2,20.2,7.1,13.1,35.1,0.35
34,"Maryland Terrapins",36,79.5,100,80,1.006,61.1,28.6,32.5,46.8,53.3,11.8,14,0.33,9.9,46.1,39.6,20.7,18.9,52.2,21.5,7.9,13.6,36.8,0.35
35,"Oklahoma Sooners",34,77.7,100,78.1,1.005,56.2,26.1,30.1,46.4,53.9,14.6,15.5,0.39,11.3,45.4,33,17.6,15.4,53.4,23.2,8.4,14.8,36.3,0.41
36,"North Carolina Tar Heels",37,80.4,100,80.6,1.003,60.3,28.6,31.7,47.4,54.1,13.1,14.6,0.35,11.2,45.9,37.8,20.6,17.2,54.4,22.4,8,14.4,35.7,0.37
36,"Colorado State Rams",36,74.2,100,74.4,1.003,55.4,26.3,29.1,47.5,55.2,14.9,13.1,0.31,8.6,44.8,31.5,17.8,13.7,56.4,23.9,8.6,15.4,35.7,0.43
38,"Ohio State Buckeyes",32,78.3,100,78.5,1.002,59,27.4,31.5,46.5,53.4,13.2,14.8,0.35,9.9,45.4,36.7,19.3,17.4,52.6,22.3,8.2,14.2,36.6,0.38
38,"UMBC Retrievers",32,79.5,100,79.6,1.002,59.9,29,30.9,48.4,55.8,14,12.5,0.31,9.9,45.7,36.6,20,16.6,54.6,23.3,9,14.3,38.5,0.39
40,"Santa Clara Broncos",34,81.4,100,81.5,1.001,62.1,29,33,46.8,55.6,13.9,11.7,0.28,8.9,44.3,33.2,18.1,15.1,54.5,28.9,10.9,17.9,37.9,0.46
41,"North Carolina-Asheville Bulldogs",32,81.8,100,81.7,1,62.3,29.5,32.9,47.3,53.6,12.1,13.8,0.34,9,46.1,39.2,21.6,17.6,55.1,23.2,7.9,15.3,34,0.37
42,"Akron Zips",35,83.4,100,83.3,0.999,64.4,30.1,34.3,46.7,55,13.5,11.2,0.26,7.9,44.2,34.6,19.4,15.2,56.1,29.7,10.7,19.1,35.8,0.46
42,"Delaware Fightin Blue Hens",36,77,100,77,0.999,57.9,27.3,30.6,47.2,54.7,14.4,12.3,0.3,8.9,45,34.3,18.6,15.8,54.1,23.6,8.8,14.9,37.1,0.41
42,"Wright State Raiders",33,77.2,100,77.1,0.999,58.5,28.8,29.7,49.3,56.5,15,11.5,0.27,8.6,45.5,36.6,20.4,16.2,55.8,22,8.5,13.5,38.5,0.38
45,"Iowa State Cyclones",35,80.1,100,79.9,0.998,58.4,28,30.4,48,54.5,14.3,14.5,0.37,10.5,46.5,36.9,20.4,16.5,55.3,21.5,7.6,13.9,35.4,0.37
46,"Boise State Broncos",37,76,100,75.8,0.997,56.3,25.9,30.4,46.1,52.7,13.2,15.4,0.37,10.7,45.9,32.6,18.5,14.1,56.7,23.7,7.5,16.2,31.5,0.42
47,"Ohio Bobcats",32,79.5,100,79.2,0.996,60.2,28,32.2,46.6,53.7,13.3,13.6,0.32,9.5,44.9,36,19.4,16.6,54,24.2,8.6,15.6,35.5,0.4
48,"Arizona Wildcats",37,82.7,100,82.2,0.994,61.6,29.1,32.5,47.3,53.1,13.4,14.3,0.35,10.6,46.1,40.3,21.9,18.3,54.5,21.3,7.2,14.1,33.6,0.35
49,"Drake Bulldogs",35,69.9,100,69.4,0.993,50.4,24.1,26.3,47.9,54.5,13.7,16.3,0.41,11.4,46.7,31.9,17.5,14.4,54.8,18.5,6.6,11.8,35.9,0.37
49,"Creighton Bluejays",36,75.5,100,75,0.993,56.8,27.1,29.8,47.6,56,15.1,11.6,0.28,8,43.9,29.2,17.5,11.7,59.9,27.6,9.6,18.1,34.6,0.49
51,"Butler Bulldogs",35,75.2,100,74.6,0.992,55.7,25.5,30.1,45.9,53.5,13.6,15,0.36,10.8,44.5,32.6,17,15.5,52.3,23.1,8.5,14.6,36.8,0.42
52,"Texas-(Austin) Longhorns",35,78.8,100,78.1,0.991,59.2,27.3,31.9,46.1,52.5,12.1,14.8,0.36,10.4,46,38.2,19.7,18.4,51.7,21,7.5,13.5,35.9,0.36
52,"USC Trojans",35,77.2,100,76.5,0.991,56.6,27.3,29.2,48.3,54.7,15.3,14.2,0.35,10.7,45.7,36.7,20.1,16.6,54.9,19.9,7.2,12.7,36.3,0.35
54,"Belmont Bruins",33,79.6,100,78.9,0.99,61.7,28.5,33.1,46.3,54.8,13.6,11,0.25,8.1,43.4,34.2,18,16.2,52.7,27.5,10.5,17,38.3,0.45
55,"Bellarmine Knights",31,73.4,100,72.6,0.989,56.6,26.3,30.3,46.5,54.5,14.6,11,0.25,8.5,43.4,31.4,17.3,14.1,55,25.2,9.1,16.1,36,0.45
56,"Dayton Flyers",34,76,100,75.1,0.988,56.4,25.6,30.7,45.5,52.8,13.1,14.8,0.37,10.6,44.9,33.3,17.4,15.9,52.2,23.1,8.3,14.8,35.9,0.41
56,"Furman Paladins",35,77.7,100,76.7,0.988,58,26.3,31.7,45.4,54.7,13.6,13.4,0.33,9.3,43.7,28.2,15.5,12.6,55.2,29.8,10.8,19,36.2,0.51
58,"Northern Iowa Panthers",33,73.7,100,72.7,0.986,54.7,26.3,28.3,48.2,54.7,14,14.3,0.34,10.4,45.8,35,19.2,15.8,54.9,19.7,7.1,12.6,36.2,0.36
58,"Penn State Nittany Lions",31,79.5,100,78.4,0.986,57.8,27.6,30.2,47.8,54,15.1,14.9,0.37,10.7,45.6,36.9,20.5,16.4,55.6,20.9,7.1,13.8,34.1,0.36
58,"Pittsburgh Panthers",32,76.6,100,75.5,0.986,58,26,32,44.8,51.9,12.4,14.1,0.34,9.6,44.5,34.2,17.8,16.4,51.9,23.8,8.2,15.6,34.6,0.41
